name Esperite
cas 12
id 12
Raman_shift Intensity
152.3164 0
152.7985 0.174194
153.2806 0.143311
153.7627 0.016998
154.2448 0.403809
154.7269 2.13858
155.2091 5.419983
155.6912 10.01169
156.1733 16.01208
156.6554 23.3353
157.1375 31.51089
157.6196 39.93655
158.1018 48.37115
158.5839 58.07663
159.066 72.13843
159.5481 85.25406
160.0302 94.33557
160.5123 98.49551
160.9945 98.59512
161.4766 96.04636
161.9587 89.03342
162.4408 81.67624
162.9229 72.31598
163.405 63.77115
163.8871 58.12085
164.3693 56.00238
164.8514 57.35959
165.3335 62.69144
165.8156 73.61649
166.2977 85.46857
166.7798 100.0646
167.262 116.2613
167.7441 131.5755
168.2262 146.597
168.7083 158.6973
169.1904 159.363
169.6725 147.0733
170.1547 130.4058
170.6368 109.9512
171.1189 86.74979
171.601 65.16757
172.0831 46.82611
172.5652 32.22351
173.0474 20.65173
173.5295 12.54373
174.0116 6.70401
174.4937 2.761139
174.9758 1.143341
175.4579 0.922089
175.9401 1.609344
176.4222 2.665253
176.9043 3.532928
177.3864 4.733292
177.8685 5.78273
178.3506 5.98735
178.8328 5.405182
179.3149 5.908234
179.797 11.20531
180.2791 17.0298
180.7612 18.87434
181.2433 14.64642
181.7255 7.63765
182.2076 5.275589
182.6897 10.99242
183.1718 15.28052
183.6539 14.95457
184.136 12.86223
184.6181 12.10968
185.1003 14.25224
185.5824 18.27887
186.0645 20.60495
186.5466 20.50464
187.0287 19.31714
187.5108 15.66705
187.993 11.46536
188.4751 9.205231
188.9572 10.35486
189.4393 14.28934
189.9214 17.56314
190.4035 20.41235
190.8857 22.33801
191.3678 22.90625
191.8499 22.49069
192.332 21.68842
192.8141 20.83203
193.2962 19.90555
193.7784 18.76669
194.2605 17.85352
194.7426 16.34821
195.2247 13.59894
195.7068 9.958557
196.1889 6.356598
196.6711 3.261841
197.1532 0.735229
197.6353 1.201691
198.1174 2.381012
198.5995 3.190002
199.0816 3.867035
199.5638 4.398834
200.0459 4.604584
200.528 4.277283
201.0101 3.661194
201.4922 3.477814
201.9743 4.25119
202.4565 4.943268
202.9386 4.528687
203.4207 2.994904
203.9028 1.507782
204.3849 0.936279
204.867 0.68692
205.3492 0.105042
205.8313 1.841309
206.3134 3.795807
206.7955 4.957031
207.2776 5.147644
207.7597 5.451508
208.2419 6.466248
208.724 7.817383
209.2061 9.186523
209.6882 10.4892
210.1703 12.05878
210.6524 13.62045
211.1346 15.27127
211.6167 16.64743
212.0988 17.69144
212.5809 18.40573
213.063 18.63043
213.5451 18.20941
214.0273 17.62076
214.5094 18.04886
214.9915 20.26544
215.4736 22.12961
215.9557 22.82553
216.4378 23.19122
216.92 24.02487
217.4021 25.67096
217.8842 28.00037
218.3663 30.63113
218.8484 33.55374
219.3305 36.85794
219.8127 40.95929
220.2948 45.26004
220.7769 49.11426
221.259 52.22672
221.7411 54.83289
222.2232 57.61627
222.7054 60.09048
223.1875 63.42505
223.6696 68.15768
224.1517 73.61896
224.6338 79.03165
225.1159 84.06824
225.598 88.88196
226.0802 93.92203
226.5623 98.10059
227.0444 103.8457
227.5265 113.2425
228.0086 123.7729
228.4907 132.1423
228.9729 136.9625
229.455 139.0596
229.9371 140.3723
230.4192 141.8621
230.9013 141.2159
231.3834 136.8356
231.8656 130.3404
232.3477 124.1505
232.8298 119.2164
233.3119 114.8542
233.794 109.4464
234.2761 102.5812
234.7583 95.97165
235.2404 89.67865
235.7225 83.98175
236.2046 79.49234
236.6867 76.57657
237.1688 74.48196
237.651 72.07205
238.1331 69.49997
238.6152 66.12192
239.0973 61.25192
239.5794 55.3934
240.0615 49.60968
240.5437 44.09738
241.0258 39.10028
241.5079 34.97571
241.99 31.64151
242.4721 28.82516
242.9542 26.56647
243.4364 24.77063
243.9185 23.07407
244.4006 21.17767
244.8827 19.81253
245.3648 20.28027
245.8469 22.27585
246.329 23.3403
246.8112 21.49475
247.2933 17.74582
247.7754 15.19949
248.2575 14.68277
248.7396 14.70026
249.2217 14.16168
249.7039 13.16782
250.186 12.02353
250.6681 10.89517
251.1502 9.755493
251.6323 8.39859
252.1144 6.539673
252.5966 4.906982
253.0787 3.803864
253.5608 3.194855
254.0429 3.024475
254.525 3.50061
255.0071 4.529236
255.4893 5.727295
255.9714 7.385864
256.4535 8.578156
256.9356 8.501007
257.4177 7.70047
257.8998 7.218506
258.382 7.746246
258.8641 9.098145
259.3462 10.50629
259.8283 11.87726
260.3104 13.36346
260.7925 15.38199
261.2747 17.59106
261.7568 19.36417
262.2389 20.21918
262.721 20.4111
